term	valence	arousal	dominance
प्रीब्रीटीName	0.0000	0.1480	-0.1430
प्रीब्रोला्ड	0.1110	-0.6190	0.3810
प्रीमियम	0.5720	0.1800	0.5380
प्रीम्पैनName	0.6250	0.6670	0.5710
प्रीयूपीएस	0.4760	0.6670	0.5710
प्रीविड	0.0740	-0.6670	0.8150
प्रीव्यू	0.0000	0.5560	0.0370
प्रीव्यून्स	-0.7040	0.5560	-0.3750
प्रीव्यूिटी	-0.5420	0.3330	-0.6670
प्रीसेट	0.0000	-0.5190	0.4810
प्रीस्टhaiti.	0.6560	-0.1620	0.1700
प्रीस्टिंगमेंट	0.5240	-0.1670	0.0000
प्रीस्टिटमेंट	0.0000	-0.6670	0.0420
प्रीस्टिन	0.0000	0.6670	-0.3330
प्रीस्टेंस	-0.6670	0.2380	-0.5240
प्रीस्ट्र्शन	0.0000	-0.6670	0.5190
प्रीहेली	0.9050	0.6670	0.0000
प्रीिक्स	0.0420	0.6670	0.0830
प्रेज़री	-0.3980	0.3200	-0.1720
प्रेम	0.7468	0.1320	0.1036
प्रेम-बिट	0.6670	0.6670	-0.0370
प्रेम-रबर्ड	1.0000	0.8330	-0.0480
प्रेमरहित	-0.8570	-0.9260	-0.6300
प्रेमिका	0.4240	0.5260	0.2080
प्रेमी	0.5067	0.3843	0.3567
प्रेमोर्न	-0.6670	0.3750	-0.6000
प्रेरणा	0.4124	0.4896	0.4370
प्रेरणाक	0.8120	0.2920	0.7160
प्रेरित	0.5759	0.1089	0.5585
प्रेरितिक	0.1840	-0.4000	0.4340
प्रेरितिकता	0.2860	-0.5930	0.3810
प्रेषक	0.0840	-0.1020	0.0180
प्रेषण	-0.0535	-0.0263	-0.2347
प्रेषित	0.0000	0.5930	0.2960
प्रेसबोर्ड	0.0000	-0.6670	-0.2860
प्रेसमैन	0.0000	0.5560	0.5710
प्रेसर	0.0000	0.6300	0.6670
प्रेसरूम	0.0000	0.6670	0.5830
प्रेसिडिडड	0.0000	-0.5000	0.2500
प्रैचक	-0.0955	0.5710	0.1270
प्रॉक्सी	0.0420	-0.1840	0.0400
प्रोकरेशनर	0.0420	-0.2920	-0.5930
प्रोकर्टर	0.0000	0.6670	0.7040
प्रोक्टर	0.1040	-0.0800	0.1740
प्रोक्शन	-0.1170	0.2340	0.2060
प्रोक्शनिस्ट	-0.5000	0.0950	0.0370
प्रोग	-0.1040	-0.1760	-0.2060
प्रोग्राम	0.3270	0.1070	0.4273
प्रोग्रामर	0.1240	-0.1480	0.5180
प्रोग्रामिंग	0.2000	-0.1300	0.4640
प्रोग्रामेटिक	0.0950	0.0000	0.4440
प्रोग्रेड	0.5935	0.2935	0.3960
प्रोग्रेडरी	-0.3340	0.2200	0.0000
प्रोग्रेसन	-0.4160	0.5100	0.2060
प्रोग्रेसनेशन	0.4480	-0.3660	0.1860
प्रोग्रेसिव	-0.0256	0.2557	0.2869
प्रोग्रेसिवेशन	0.0000	0.5345	0.5480
प्रोग्रेसोusa.	-0.1640	-0.1880	0.1380
प्रोज़ेन्टेटर	0.5620	-0.0400	0.5960
प्रोजाक	0.6670	0.6670	-0.4070
प्रोजेक्ट	0.1537	0.2525	0.3843
प्रोजेक्टर	0.2500	0.0000	0.3330
प्रोजेक्टिवली	0.0000	0.6250	0.5000
प्रोजेक्शन	0.4160	0.0000	0.4620
प्रोटर	0.0000	0.4580	0.4580
प्रोटी	0.0420	0.6300	0.5560
प्रोटीएल	-0.3760	0.0840	-0.2080
प्रोटीटर	-0.4290	0.6190	-0.5830
प्रोटीटीName	0.6240	0.4080	0.6480
प्रोटीटीटीट	-0.1920	0.0960	0.2000
प्रोटीन	0.5000	-0.3260	0.3080
प्रोटीप	0.2920	0.5200	0.6040
प्रोटीसीमेंट	0.6670	-0.3700	0.9170
प्रोटेक्चर	-0.0255	0.0000	0.2870
प्रोटेक्चर्स	0.0000	0.0000	0.2380
प्रोटेक्शन	-0.0750	0.2210	0.1030
प्रोटेक्शनरी	0.0000	-0.0060	0.0840
प्रोटेटलस	0.0000	0.1110	0.2500
प्रोटेनियन	-0.0840	-0.1700	-0.0180
प्रोटेस्टंट	0.3417	0.0510	0.0237
प्रोटेस्टंटन	0.6250	0.6670	0.5830
प्रोटेस्टंटमेंट	0.0220	-0.1340	0.3560
प्रोटेस्टंटल	-0.3540	0.0200	-0.1240
प्रोटेस्टंटल्शन	0.0000	-0.1000	0.2220
प्रोटेस्टंटशिप	0.0000	-0.6670	0.8890
प्रोटेस्टंटिक	0.0802	-0.0916	0.2872
प्रोटेस्टंटिटी	-0.0620	-0.1540	0.1960
प्रोटेस्टंटिस	0.4070	0.1670	-0.2220
प्रोटेस्टंटी	-0.5000	0.0980	0.3125
प्रोटेस्टंटेंट	0.0000	0.0000	-0.1330
प्रोटेस्टंटेटर	0.1250	0.6670	0.7920
प्रोटेस्टंटेबल	0.1960	-0.0557	0.4997
प्रोटेस्टंटेशन	-0.5880	0.2700	-0.1200
प्रोटेस्टंटो	0.5560	-0.2500	0.0000
प्रोटेस्टंटोटोन	0.6110	-0.6670	0.0000
प्रोटेस्टर्म	0.0540	-0.1200	-0.1920
प्रोटेस्टिटिस्टिस्ट	0.0620	0.1640	0.4440
प्रोटेस्टेंट	0.1020	0.2090	-0.1320
प्रोटेस्टैंट	-0.2995	-0.0895	-0.0195
प्रोटोकॉल	-0.6440	0.0000	0.5720
प्रोटोटोजोा	-0.3000	-0.0960	-0.1960
प्रोटोटोटो	0.2920	0.0000	-0.0640
प्रोटोटोनiran.	0.0000	0.3330	-0.6670
प्रोटोटोर	0.0000	0.0000	-0.1850
प्रोटोलाम	0.0000	-0.4810	-0.1250
प्रोटोलामिक	0.0000	-1.0000	-0.2960
प्रोडेंट	-0.3325	0.3125	0.1970
प्रोत्साहक	0.6460	0.1660	0.5100
प्रोत्साहकता	-0.5830	-0.6670	0.4440
प्रोत्साहन	0.8093	0.3213	0.4133
प्रोत्साहनर	1.0000	0.6670	0.5000
प्रोपरेटर	-0.6670	-0.6670	-0.7500
प्रोप्लेम	0.1387	-0.0713	0.1157
प्रोफ़ाइलर	0.0400	-0.1700	0.1180
प्रोफाइल	0.3780	-0.4140	0.0580
प्रोफिक्स	-0.1420	-0.1900	0.0000
प्रोफिक्सनेस	0.7040	0.6250	0.0000
प्रोफिक्सर	-0.5820	0.6460	-0.0180
प्रोफिक्सिटी	0.9580	-0.7500	0.6670
प्रोफिक्स्शन	-0.6670	0.6670	-0.6670
प्रोफेसर	0.3120	-0.2040	0.4420
प्रोफ्रेक्टरी	-1.0000	0.0000	0.7920
प्रोफ्रॉफ	-0.0420	-0.2040	0.0900
प्रोब	0.0000	-0.0160	-0.1540
प्रोबमेंटलमेंट	-0.4480	0.1960	0.0520
प्रोबायोटॉइड	0.6670	0.0000	0.2920
प्रोमो	0.2040	0.1020	0.2280
प्रोमोक्लीय	1.0000	0.6670	0.7080
प्रोलरलर	-0.2500	0.2160	0.0180
प्रोविडेंट	-0.2500	0.4760	0.0560
प्रोवोटोन	0.3330	0.0420	0.0000
प्रोवोलेटर	-0.6670	0.6670	0.9440
प्रोवोल्यूट	-0.0400	-0.0520	-0.0720
प्रौढ़	0.4585	-0.4865	0.3965
प्रौढ़ता	0.6540	-0.2000	0.6120
प्रौद्योगिकी	0.3600	-0.0960	0.6300
प्लकर	0.0743	0.0423	-0.3897
प्लकरName	-0.9580	0.4810	-0.6250
प्लग-इन	-0.1430	-0.6670	0.0000
प्लग-इनGenericName	0.0560	0.0000	0.0420
प्लग-इनन	-0.3330	0.0000	0.0000
प्लग-इन्ट	0.5830	0.5930	0.5000
प्लगइन	-0.3330	0.6670	0.4580
प्लगिन	0.0620	-0.2880	-0.0540
प्लटेनियन	0.4290	-0.6670	-0.1670
प्लपपपप	-0.6300	-0.9520	-0.7780
प्लब्ड	-0.3540	0.2840	-0.5180
प्लस	0.2500	-0.4700	-0.3640
प्ला-	0.3760	0.0820	0.0300
प्लाकर	0.1560	-0.0125	-0.0480
प्लाजमा	-0.3960	-0.6280	-0.3160
प्लाजमाName	0.3120	-0.4380	-0.3840
प्लाजा	0.3800	-0.3080	0.0580
प्लाज्माComment	0.3700	-0.3330	-0.3810
प्लाज्माName	-0.3700	-0.4760	-0.5190
प्लाट	-0.2139	0.3421	0.3129
प्लाटर	-0.2527	0.6530	0.7063
प्लाटलाइन	0.0830	0.6190	0.3330
प्लाड्ड	-0.3150	0.0830	-0.3800
प्लानर	0.5200	-0.0620	0.7360
प्लानिकन	0.1040	-0.3580	-0.2580
प्लासियोग्राफी	0.3330	0.0000	0.1670
प्लासिल	-0.0520	-0.2040	-0.2800
प्लास्टिक	0.0469	0.0490	-0.0251
प्लास्टिकीकरण	0.0000	-0.6670	0.0370
प्लिंग	-0.4000	0.6670	-0.0420
प्लिटर	0.9050	0.0000	0.9630
प्लिलल्लो	-0.0370	0.3810	0.0370
प्लिलेशन	-0.6670	1.0000	-0.6190
प्लीटरी	0.0200	-0.2000	-0.4820
प्लीटी	0.6320	0.6260	0.0920
प्लूटर	-0.5560	0.5930	0.5190
प्लूडिशName	-0.6670	-0.6300	-0.3750
प्ले	-0.5240	0.6670	0.3330
प्लेट	0.1660	-0.5100	-0.2680
प्लेटदार	0.6250	0.0000	0.0000
प्लेटफॉर्म	0.2040	-0.3200	0.4360
प्लेटलेट	0.0000	0.4170	0.0830
प्लेटिनम	0.0000	0.6670	0.4580
प्लेटिनममर	0.0000	0.7040	0.2860
प्लेटेट	-0.2920	-0.2200	-0.0340
प्लेट्ड	0.1240	-0.0840	-0.0860
प्लेबैक	0.3120	0.1180	0.2780
प्लैटल	0.0840	-0.0760	0.3680
प्लैटी	0.1220	0.0960	-0.4120
प्लैटीName	-0.6670	-0.7410	-0.6250
प्लैटीपस	0.0000	0.0000	0.0000
प्लैटेबल	0.5000	-0.5830	0.0000
प्लैटो	-0.6670	0.4760	-0.5000
प्लैटोट	-0.1840	-0.5380	-0.5440
प्लैटोटर	0.5710	0.3330	0.3330
प्लॉइड	0.3810	0.3330	0.3810
प्लॉपलर	-0.3680	-0.1400	-0.1900
प्लॉपोड	0.0000	0.0000	0.0000
प्लॉफेक्टिक	0.5420	-0.5830	0.2080
प्लॉबम	0.4810	-0.8890	0.0420
प्लॉबरिस्ट	-1.0000	0.6670	-0.6670
प्लॉबैंड	-0.3960	-0.0180	-0.1660
प्लॉल	-0.4900	0.1800	-0.0720
प्लॉस्क	-0.6880	0.2120	-0.4680
प्लॉस्फीति	0.0000	-0.4070	-0.4760
प्लोकर	0.3750	0.0000	0.1345
प्लोग्राफर	0.0000	-0.5830	0.6190
प्लोटर	0.0000	0.6375	0.1455
प्लोटोग्राफर	0.5840	-0.0900	0.4220
प्लोटोन	0.0000	0.0000	0.0740
प्लोटोनी	0.4075	0.2780	0.5345
प्लोटोनोकस	-0.7220	-0.1850	0.0420
प्लोबॉइड	-0.5710	0.6670	-0.2080
फ	-0.6670	1.0000	0.6190
फin	0.0560	0.0000	0.0000
फंक्शन	-0.0613	-0.4693	-0.2387
फंच	-0.1240	-0.1120	-0.2840
फंदा	-0.6400	0.4704	0.0613
फंदााइडल	0.0000	0.0000	0.0000
फंदाियम	0.0000	0.0000	0.0000
फच्यूट	-0.4580	0.6670	-0.5420
फट	-0.5680	0.5847	0.0810
फटा	0.2910	0.0670	0.1330
फनविनk	-0.6670	0.6670	-0.3330
फफ	-0.3120	-0.1160	-0.0360
फफिसनेस	-0.6670	-1.0000	-0.6670
फफुलेटेड	-0.3330	-0.3330	-0.5710
फफूँदी	-0.6670	-1.0000	-0.3750
फफ्ट	0.2800	0.0200	-0.0920
फर.	-0.1425	0.0665	-0.2815
फरगीटी	0.1840	0.7060	0.5780
फरडाविलusa.	-0.0200	-0.0580	-0.0560
फरबॉर्मरी	0.0000	-0.6300	0.0000
फरमीName	-0.3860	0.4120	0.0000
फरेबी	0.9170	-0.9170	-0.6670
फर्श	0.0384	-0.1315	-0.1023
फल	0.8137	0.1880	0.0028
फल-	0.4600	0.2360	0.2740
फलक	-0.1150	0.0415	0.2035
फलता	0.7300	0.0420	0.5580
फलताव	0.8960	0.0580	0.5440
फलना	0.6740	0.3820	0.7140
फलाफिएदर	0.2300	0.5880	0.4100
फली्ड	0.2300	-0.1800	0.2400
फलों	-1.0000	-0.8330	-0.8520
फवरॉवर	0.1420	-0.4160	-0.1960
फसह	0.6670	-0.4440	0.0000
फ़ंक्शन	0.0000	-0.4170	0.3750
फ़रमाया	-0.3330	-0.3700	-0.6670
फ़रमायाबूला	-0.4480	-0.3540	-0.1160
फ़लिटी	-0.7600	0.3780	-0.6280
फ़लिफिक्सेबल	0.0950	-0.3700	0.6670
फ़ाइल	-0.2783	0.1479	0.0163
फ़ाइल-	0.0000	-0.0950	0.3330
फ़ाइल-\\	-0.3000	-0.0360	-0.6220
फ़ाइलें	0.4160	0.0760	0.4000
फ़ायर	0.1819	0.4431	0.2883
फ़ायरगाफ	0.7080	-0.7080	0.8670
फ़ायरबर्ड	0.6670	1.0000	0.7040
फ़ायरल	-0.0075	0.0470	0.2970
फ़ायल	0.0840	-0.5500	-0.0180
फ़िंगिंगिंग	-0.2290	0.1500	-0.0710
फ़िक्स	-0.6980	0.7147	0.4110
फ़िक्सनेस	0.6670	-0.2780	0.2500
फ़िक्सर	-0.2700	0.0200	-0.2540
फ़िक्सिएटर	-0.4580	0.4280	0.0160
फ़िक्सेबल	0.7620	0.0000	0.5000
फ़िल्टर	0.0659	0.0364	0.1246
फ़िल्म	0.3050	-0.1613	0.0723
फ़िल्मगोर	0.5560	-0.5830	0.0000
फ़िल्मेबल	0.6670	-0.4440	0.0000
फ़िशमछली	-0.6670	-0.6670	-0.5000
फ़िशिशName	-0.6660	0.6920	0.1820
फ़ीकर	-0.2080	0.0560	-0.4500
फ़ीज	-1.0000	-0.6670	-0.9440
फ़ीड	0.3637	-0.0300	0.2853
फ़ीडबाक्स	0.0000	-0.2500	0.0000
फ़ीडबैक	0.2440	0.1140	0.2900
फ़ीडों	-0.2590	0.0000	-0.4440
फ़ीरी	-0.5620	0.5880	-0.4420
फ़ील्डर	0.1660	-0.2440	-0.1700
फ़ूटर	-0.5830	1.0000	0.9520
फ़ेकरर	0.3750	0.6190	0.4070
फ़ेचरर	-0.5560	0.6670	-0.3700
फ़ेलेज	-0.3760	0.1160	0.0580
फ़ेल्सॉयर	-0.7500	0.6670	0.4440
फ़ैक्टराइज़	0.0000	0.5560	0.2500
फ़ैक्टराइज़ेशन	0.2920	-0.3890	0.6190
फ़ैक्टराइजेशन	0.6670	0.2670	0.6670
फ़ैक्स-	-0.4580	-0.8100	-0.6670
फ़ैसला	0.7500	-0.0855	0.7895
फ़ॉन्ट	0.2952	-0.1815	0.0227
फ़ॉन्ट-	0.0000	0.0000	0.0950
फ़ॉन्टरबर्ड	1.0000	0.6670	-0.3330
फ़ॉब्रोइड	-0.6670	-0.6670	-0.5190
फ़ॉर्म	0.0240	-0.1665	0.0390
फ़ॉर्मम्प	-0.6670	0.5000	-0.5560
फ़ॉर्मिंग	0.6300	-0.4440	0.1670
फ़ॉर्मिक	0.4760	-0.0830	0.0000
फ़ॉर्मिक्स	-0.3330	-0.6670	-0.5190
फ़ॉर्मिटी	0.3700	-0.6670	0.3700
फ़ॉर्मेक्टर	0.3260	0.0400	0.1400
फ़ॉर्मेट-	-0.5190	0.9520	0.5420
फ़ोनमिक	0.0000	0.0000	0.4070
फ़ोनेटिक	0.1253	-0.2413	0.0507
फ़ोनेटिकName	0.0000	0.2920	0.4440
फ़ोल्डर	-0.3067	-0.2057	-0.3085
फ़्यूट	-0.2080	-0.4620	-0.0180
फ़्लॉपी	0.0980	-0.4000	-0.3340
फ़्लॉफ	0.3460	-0.4900	-0.4260
फ़्लोर	0.0000	0.0000	0.6300
फाइल	-0.1150	-0.0835	0.0685
फाइलनाम	0.0000	0.0000	0.0000
फाईल	0.2300	-0.0600	0.1320
फाउंटोFestivalVoiceName	0.2320	-0.3020	-0.2080
फाओ	-0.7000	-0.2260	-0.5800
फाकलैंडusa.	0.2915	0.2965	-0.1875
फागो	-0.0400	-0.1480	-0.2640
फाटक	0.0000	-0.8890	0.0000
फाड़करर	-0.6670	0.4580	-0.5830
फाड़ना	0.0210	-0.0235	0.6665
फाड़ी	-0.6660	-0.0540	-0.5680
फाड़ें	-0.1920	0.2400	-0.3460
फानियो	1.0000	0.6190	0.0000
फायदेमंद	0.8639	-0.1264	0.5999
फायर-बोर्ड	0.0000	0.0000	0.0420
फायरकर	0.1470	0.6850	0.4707
फायरगे	-0.9580	0.6670	-0.2590
फायरफ	0.0200	-0.2440	-0.3140
फायरफ्स	0.2440	-0.1800	-0.2740
फायरबम्ब	-1.0000	1.0000	0.7500
फायरबिल	0.0000	0.0000	0.0000
फायरमैन	-0.1720	0.6080	0.5220
फायरिंग	-0.4400	0.8042	0.4187
फायरिंग्स	-0.3260	0.7280	0.5300
फायरो	0.3340	-0.0980	-0.0360
फायर्ड	-0.1113	0.4940	0.4167
फायर्डName	0.0400	0.1600	-0.0720
फार्महैण्ड	0.2920	0.6670	-0.4440
फार्मेट	-0.5200	0.3830	0.0350
फालबैक	-0.6670	-0.6190	-0.6190
फासिस्टिस्ट	-0.6000	0.5100	0.0540
फिंगरप्रिंट	0.1660	-0.1920	0.1400
फिकिक	0.6110	0.0000	0.0000
फिकी	-0.6300	-0.2220	-0.4810
फिजी	0.0000	0.6000	0.0370
फिट	-0.1060	0.1072	-0.0065
फिटर	0.6670	0.6670	0.5830
फिटेबल	0.5560	0.0000	0.0480
फिनिशर	0.9050	0.8520	0.8890
फिनो	0.0620	0.0980	0.1100
फिर	0.1693	0.2481	0.2210
फिर-	0.6300	1.0000	0.5830
फिरदौस	0.7500	0.0800	0.5920
फिरवादusa.	-0.6670	1.0000	0.8330
फिरीName	0.2790	0.3130	-0.2560
फिरौनीName	-0.0200	0.0340	-0.2860
फिलरियर	-0.6670	0.6670	0.2860
फिलरोफाइज़	0.6250	-0.6670	0.5710
फिलरोसोर	0.6250	-0.6670	0.6670
फिलश	-0.6670	0.6670	0.8100
फिलसोपिक	0.3760	-0.4600	0.3100
फिलिलिल	0.5000	0.0000	-0.1480
फिल्टरिंग	0.0420	0.1900	-0.2220
फिल्टरों	-0.2820	-0.1565	0.2620
फिल्म	0.5800	0.2267	0.1843
फिल्मर	0.2920	0.6670	0.0000
फिल्मी	0.3260	-0.0200	0.2000
फिल्सिलियाusa.	0.1160	-0.3140	-0.2420
फिसनी	-0.5300	-0.2260	-0.5000
फिसलता	-0.3700	0.5930	-0.9520
फिसलन	-0.2200	0.4460	-0.2420
फिसलननेस	-0.3810	-0.2220	-0.2500
फिसलना	-0.6300	0.5560	-0.5000
फीका	-0.2920	-0.3340	-0.5100
फीतॉज	-0.0820	0.4160	-0.3020
फीली	0.3890	-0.4290	-0.5240
फील्ड-	0.6670	0.6670	0.3810
फील्डवर्कर	0.0000	0.6670	0.5560
फुट	0.2875	-0.0988	-0.0472
फुट-	0.1918	0.0978	-0.0498
फुट-बोर्ड	0.0000	-0.6670	0.0000
फुटनोट	0.0000	-0.6670	-0.0950
फुटपथ	0.3540	-0.3580	-0.0540
फुटबाल	-0.1460	-0.5370	-0.4795
फुटबॉल	0.4530	0.5970	0.2260
फुटबॉलर	0.6670	0.9630	0.7500
फुटमार्क	0.0000	0.6670	-0.1110
फुटमेन	0.0000	0.6670	-0.5190
फुटर	0.0000	-0.7500	-0.2080
फुटलूप	-0.2365	0.3730	-0.3865
फुटलॉकर	0.0000	-0.1660	-0.2140
फुटवे	0.0000	-0.2500	0.0000
फुटी	0.6670	0.5803	-0.1843
फुटीक	0.2380	-0.3750	0.0000
फुटेज	0.2500	-0.5300	-0.2720
फुटेड	-0.3810	0.6670	-0.5190
फुफ्सन	-0.1040	0.1340	0.1700
फुरून्स	-0.0370	-0.0480	0.0370
फुल-	-0.3330	-0.5420	-0.3700
फुलकली	0.0000	-0.6670	0.6250
फुलकी	-0.3330	0.5930	-0.9580
फुलकीनेस	-0.6670	0.2500	-0.6250
फुलचियाusa.	0.2660	-0.4500	-0.4720
फुलपास्य	-0.6670	0.8890	0.8100
फुलफ़ल	0.1200	-0.1960	-0.2980
फुलफ्लेक्ट	-0.5620	-0.0380	-0.2100
फुलफ्लोर	0.0000	-0.8670	0.0000
फुलस्केप	0.2860	-0.4070	0.6670
फुलस्क्रीन	0.2263	-0.0363	0.1570
फुलस्रोस	-0.6800	-0.0620	0.0920
फुलिशिशName	-0.3330	0.2000	0.0950
फुल्लोम्ब	0.0000	0.0180	0.1640
फुसफुसाना	-0.0200	-0.5500	-0.4700
फुहार	0.0420	-0.2940	-0.3620
फूजनिंग	-1.0000	0.7220	0.7500
फूजी	0.6250	0.0000	0.0000
फूट	-0.5180	0.1573	-0.2390
फूटकर	-0.2840	0.0900	-0.1400
फूटता	-0.6300	-0.6190	-0.6190
फूटते	-0.5105	0.3385	0.1580
फूटनपन	-0.6670	0.9630	0.3810
फूटना	-0.1980	-0.6125	0.4665
फूटी	-0.6255	0.1190	-0.5870
फूटें	-0.6240	0.6400	0.6360
फून	0.7080	0.0420	-0.0370
फूमेटिक	-0.1240	-0.1880	-0.1120
फूल	0.3116	-0.2529	-0.1695
फूल-	-0.3330	-0.8750	-0.1900
फूलकर	0.8150	0.6670	0.6190
फूलटटो	-0.5840	0.3260	-0.1380
फूलती	-0.6670	0.6670	0.5215
फूलदान	0.3045	-0.6085	-0.2850
फूलदार	0.0760	-0.2570	-0.1628
फूलना	-0.7700	0.5100	0.1600
फूलपन	0.1665	-0.4920	0.0355
फूलली	0.9180	0.4100	0.4160
फूल्ड	0.7330	-0.8890	-0.1900
फेंक	-0.1341	0.1833	0.1881
फेजीताstar	0.7410	0.6000	0.0000
फेट	0.4280	-0.2580	0.4520
फेडर	0.0000	0.5560	-0.0480
फेफड़ों	0.0620	-0.2960	0.1100
फेर	0.0787	0.0713	0.2510
फेरये	-0.3330	0.6250	0.3750
फेररी	0.3120	-0.1000	0.2060
फैंसी	0.7080	0.3460	0.0680
फैक्टराइज	0.1531	0.0480	0.3268
फैक्टरी	-0.0210	0.3335	0.5995
फैक्स	-0.1040	-0.1320	-0.1530
फैगॉफ	0.0420	-0.0360	-0.2740
फैच	-0.6670	1.0000	-0.4810
फैचिस्टर	0.6670	0.3890	0.3330
फैड	-0.1240	0.0380	-0.2320
फैलाने	-0.5055	0.6670	0.9790
फैलाया	0.0800	0.0630	0.1510
फैले	0.1950	-0.0770	-0.0023
फैशन	0.6240	0.4007	0.4728
फॉक्सविनकर	-0.7080	0.6670	0.3700
फॉपॉप	-0.3330	-0.6670	-0.6670
फॉफिमियाusa.	0.6300	0.7780	0.0000
फॉफीसेट	-0.2380	-0.5560	0.8890
फॉमपोम	0.6670	1.0000	0.6110
फॉर्ममाइड	0.0000	-0.6670	0.0370
फॉर्मर	0.5830	0.6670	0.8330
फॉर्मुलाइजेशन	0.0000	-0.6670	0.4810
फॉललूम	-0.2920	0.4400	-0.1360
फॉस्फीति	0.0000	0.2860	0.2960
फॉस्फीयर	0.2085	0.2855	0.0370
फॉस्फोर	0.0410	-0.3240	-0.2090
फॉस्फोरर	-0.1240	-0.0400	-0.1460
फॉस्फोरस	0.1887	0.1530	-0.0727
फॉस्फोरिक	-0.6670	0.7080	-0.6300
फॉस्फोरिकusa.	0.0000	0.1250	0.0000
फॉस्फोरिक्स	0.3060	-0.0380	0.1880
फोकल:	0.0000	0.0000	0.2080
फोकलाइजेशन	0.0000	0.3330	0.4070
फोकस	0.5235	-0.2640	0.4100
फोकसकर्ता	0.6190	0.6670	0.5830
फोटो	0.2054	0.1885	0.1858
फोटो%	0.3400	0.2917	0.3890
फोटो-	0.2553	0.4157	0.2457
फोटो-वुड	0.1220	0.0000	-0.2400
फोटोOGenericName	0.0000	-0.6670	0.6670
फोटोकर	0.0000	0.5930	0.1850
फोटोक्शन	0.0000	0.6670	0.5830
फोटोग्राफ	0.3128	-0.1165	0.1427
फोटोग्राफी	0.0000	-0.6115	0.1965
फोटोग्राम	0.0000	0.0000	0.0000
फोटोडिग्रेसन	-0.6670	1.0000	0.4440
फोटोडेंट	-0.5830	0.5830	-0.0830
फोटोनिक	0.1110	0.3330	0.3810
फोटोबॉबॉइड	0.6670	0.1110	0.0000
फोटोमिक	0.5600	0.0000	-0.0100
फोटोमिकल	0.0000	-0.6670	0.3750
फोटोमीटर	0.1110	0.0830	0.5190
फोटोमैप	0.6670	0.0000	0.4170
फोटोलीग्राफी	0.0000	-0.6670	0.4170
फोटोसेटिटी	-0.3890	0.4290	-0.1850
फोटोाइज	-0.5190	0.3330	0.2220
फोटोाइजेशन	-0.6250	0.6250	-0.1670
फोटोेबल	0.3330	0.0000	0.2080
फोड़े	-0.1660	0.3680	-0.1340
फोन	0.3750	0.1090	0.1813
फोनबुक	0.0000	-0.0950	0.0000
फोनर	0.1800	-0.3980	-0.2580
फोनी	-0.6670	0.6670	-0.6670
फोन्ड	0.0670	0.3330	0.0000
फोरफ़ॉफ्ट	0.0200	-0.4920	-0.2600
फोर्क	-0.0940	-0.2000	0.1005
फोलो	0.2500	0.1200	0.1040
फोलो-अप	0.0000	0.6670	0.0000
फ्यूंगर	0.3750	-1.0000	-0.4580
फ्यूंट	0.6110	0.6190	0.5710
फ्यूउ	-0.7040	0.6670	-0.8750
फ्यूक्लास	-0.4580	0.4120	-0.1780
फ्यूग	0.0317	0.0403	0.2540
फ्यूगworld.	0.0400	-0.5200	-0.5100
फ्यूगक	-0.7760	0.7340	-0.7720
फ्यूगर्ट	-0.6190	0.5190	0.5930
फ्यूगिशName	-0.9260	0.7410	0.8570
फ्यूचुटिंग	-0.6670	0.7040	-0.4070
फ्यूचुरल	0.4280	-0.4080	-0.1140
फ्यूचो	0.0480	0.3700	0.5000
फ्यूज	-0.2540	0.1300	0.1480
फ्यूज़	-0.3023	-0.1067	-0.0620
फ्यूज़न	-0.2240	0.1255	-0.0850
फ्यूज़्ड	-0.6740	0.3680	-0.2880
फ्यूटन	-0.1420	-0.2980	-0.3140
फ्यूटर	-0.3340	-0.3800	-0.2160
फ्यूड	0.7060	-0.1640	-0.1860
फ्यूफ	-0.3125	0.1635	0.0425
फ्यूम	-0.1778	0.4850	0.2863
फ्यूमुलली	0.6670	0.6670	0.5930
फ्यूमेशन	-0.3460	0.2540	0.2080
फ्यूम्बलर	-0.6670	0.6670	-0.8890
फ्यूयो	-0.1560	0.1140	-0.2500
फ्यूरर	-0.0370	0.6670	0.9020
फ्यूरील	0.0000	-0.5240	0.5560
फ्यूर्मर	-0.1840	-0.4220	-0.1740
फ्यूल	-0.0447	-0.0560	0.1080
फ्यूलमैन	-0.4160	0.1180	0.1340
फ्यूलाफिंग	0.5830	0.6670	0.5560
फ्यूश	-0.3403	0.0563	-0.3577
फ्यूस	-0.2280	0.0000	0.1340
फ्रन्ट्समेन	0.6250	0.6670	0.7080
फ्री	0.6670	0.0000	0.6670
फ्री-	0.2469	0.4630	0.1449
फ्री-बोर्ड	0.0000	-0.2960	0.0370
फ्रीकर	0.6670	0.9520	0.6670
फ्रीकरर	0.6670	0.7920	0.3890
फ्रीजर	-0.2080	-0.1880	-0.1860
फ्रीबे	0.6250	0.0000	-0.1480
फ्रीमास	0.0000	0.0000	0.5330
फ्रीमासी	0.0000	-0.6670	0.6670
फ्रीमैन	0.5710	-0.1670	0.5000
फ्रीस्की	0.4000	0.2640	0.0500
फ्रीस्टाइल	0.5300	0.3040	0.0400
फ्रीहैण्ड	0.4670	0.6190	0.4290
फ्रेंजाइज़	0.3260	-0.2000	0.1200
फ्रेंजिंग	-0.6670	0.9630	0.2000
फ्रेकर	0.0000	0.6670	0.3700
फ्रेगर्टी	0.3330	-0.6250	-0.1670
